% 1. Title: Premiership Data 2013 Season

% 2. Source: http://www.football-data.co.uk/data.php



@relation Premiership2013
@attribute 'HomeTeam' { Arsenal, AstonVilla, Birmingham, Blackburn, Blackpool, Bolton, Bradford, Burnley, Charlton, Chelsea, Coventry, CrystalPalace, Derby, Everton, Fulham, Hull, Ipswich, Leeds, Leicester, Liverpool, ManCity, ManUnited, Middlesbrough, Newcastle, Norwich, NottinghamForest, Portsmouth, QPR, Reading, Southampton, Stoke, Sunderland, Swansea, Tottenham, WestBrom, WestHam, Wigan, Wolves }
@attribute 'AwayTeam' { Arsenal, AstonVilla, Birmingham, Blackburn, Blackpool, Bolton, Bradford, Burnley, Charlton, Chelsea, Coventry, CrystalPalace, Derby, Everton, Fulham, Hull, Ipswich, Leeds, Leicester, Liverpool, ManCity, ManUnited, Middlesbrough, Newcastle, Norwich, NottinghamForest, Portsmouth, QPR, Reading, Southampton, Stoke, Sunderland, Swansea, Tottenham, WestBrom, WestHam, Wigan, Wolves }
@attribute 'FullTimeHomeTeamGoals' numeric
@attribute 'FullTimeAwayTeamGoals' numeric
@attribute 'HalfTimeHomeTeamGoals' numeric
@attribute 'HalfTimeAwayTeamGoals' numeric
@attribute 'HomeTeamShots' numeric
@attribute 'AwayTeamShots' numeric
@attribute 'HomeTeamShotsOnTarget' numeric
@attribute 'AwayTeamShotsOnTarget' numeric
@attribute 'HomeTeamFoulsCommitted' numeric
@attribute 'AwayTeamFoulsCommitted' numeric
@attribute 'HomeTeamCorners' numeric
@attribute 'AwayTeamCorners' numeric
@attribute 'HomeTeamYellowCards' numeric
@attribute 'AwayTeamYellowCards' numeric
@attribute 'HomeTeamRedCards' numeric
@attribute 'AwayTeamRedCards' numeric
@attribute 'Bet365HomeWinOdds' numeric
@attribute 'Bet365DrawOdds' numeric
@attribute 'Bet365AwayWinOdds' numeric
@attribute 'LadbrooksHomeWinOdds' numeric
@attribute 'LadbrooksDrawOdds' numeric
@attribute 'LadbrooksAwayWinOdds' numeric
@attribute 'WilliamHillHomeWinOdds' numeric
@attribute 'WilliamHillDrawOdds' numeric
@attribute 'WilliamHillAwayWinOdds' numeric
@attribute 'class' { D,H,A }
@data
Stoke,Swansea,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.91,3.4,4.2,1.91,3.4,4,1.95,3.1,4.33,H
Sunderland,Wigan,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,3.4,3.8,1.91,3.4,4,2.1,3.1,3.75,H
AstonVilla,WestBrom,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.4,3.3,3,2.4,3.3,2.88,2.5,3,3,D
QPR,WestHam,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.05,3.4,3.75,2.05,3.3,3.6,2.15,3.1,3.6,A
Chelsea,Norwich,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.22,6.5,12,1.22,6,13,1.25,5,15,H
ManCity,Sunderland,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.29,5.5,11,1.29,5,11,1.3,5,11,H
Swansea,Reading,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.91,3.6,4,2,3.3,3.75,2.05,3.1,4,D
WestBrom,QPR,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.83,3.75,4.2,1.83,3.6,4.2,1.91,3.2,4.33,H
WestHam,Arsenal,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4,3.6,1.91,4.2,3.5,1.83,4,3.2,2,A
Wigan,Everton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.2,3.4,1.91,3.75,3.4,2,4,3.1,2.05,D
Liverpool,Stoke,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.44,4.33,7.5,1.5,4,7,1.53,3.75,7,D
Newcastle,ManUnited,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.2,3.75,1.83,4,3.4,1.91,4.33,3.1,1.95,A
Southampton,Fulham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.75,3.3,2.6,2.62,3.4,2.6,2.7,3.1,2.7,D
Tottenham,AstonVilla,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.44,4.33,7.5,1.44,4,8,1.5,3.6,8,H
Fulham,AstonVilla,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.8,3.6,4.5,1.8,3.5,4.5,1.85,3.3,4.5,H
Liverpool,Reading,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.33,5,10,1.36,4.5,9,1.4,4.2,9,H
ManUnited,Stoke,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.29,5.5,11,1.29,5,11,1.33,4.5,11,H
Norwich,Arsenal,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6,4.2,1.53,6,4,1.53,6,3.8,1.57,H
Swansea,Wigan,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.1,3.4,3.5,2.1,3.3,3.5,2.15,3.2,3.5,H
Tottenham,Chelsea,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.5,3.4,2.75,2.5,3.3,2.62,2.7,3,2.8,A
WestBrom,ManCity,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5,3.75,1.7,5,3.75,1.67,5,3.4,1.75,A
WestHam,Southampton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.83,3.75,4.2,1.91,3.4,4,1.91,3.4,4,H
QPR,Everton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.25,3.4,2.2,3.2,3.3,2.2,3.2,3.2,2.3,D
Sunderland,Newcastle,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.5,3.3,2.88,2.5,3.25,2.8,2.62,3,2.9,D
Arsenal,QPR,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.36,5,8.5,1.33,5,9,1.33,4.5,9,H
AstonVilla,Norwich,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,3.5,3.75,1.91,3.4,4,1.91,3.2,4,D
ManCity,Swansea,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.22,6,15,1.22,6,13,1.22,6,10,H
Reading,Fulham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.75,3.4,2.5,2.75,3.3,2.5,2.7,3.2,2.5,D
Stoke,Sunderland,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.95,3.3,4.2,2,3.3,3.75,1.91,3.3,3.9,D
