% 1. Title: Premiership Data 2013 Season

% 2. Source: http://www.football-data.co.uk/data.php



@relation Premiership2013
@attribute 'HomeTeam' { Arsenal, AstonVilla, Birmingham, Blackburn, Blackpool, Bolton, Burnley, Chelsea, Derby, Everton, Fulham, Hull, Liverpool, ManCity, ManUnited, Middlesbrough, Newcastle, Norwich, NottinghamForest, Portsmouth, QPR, Reading, Southampton, Stoke, Sunderland, Swansea, Tottenham, WestBrom, WestHam, Wigan, Wolves }
@attribute 'AwayTeam' { Arsenal, AstonVilla, Birmingham, Blackburn, Blackpool, Bolton, Burnley, Chelsea, Derby, Everton, Fulham, Hull, Liverpool, ManCity, ManUnited, Middlesbrough, Newcastle, Norwich, NottinghamForest, Portsmouth, QPR, Reading, Southampton, Stoke, Sunderland, Swansea, Tottenham, WestBrom, WestHam, Wigan, Wolves }
@attribute 'FullTimeHomeTeamGoals' numeric
@attribute 'FullTimeAwayTeamGoals' numeric
@attribute 'HalfTimeHomeTeamGoals' numeric
@attribute 'HalfTimeAwayTeamGoals' numeric
@attribute 'HomeTeamShots' numeric
@attribute 'AwayTeamShots' numeric
@attribute 'HomeTeamShotsOnTarget' numeric
@attribute 'AwayTeamShotsOnTarget' numeric
@attribute 'HomeTeamFoulsCommitted' numeric
@attribute 'AwayTeamFoulsCommitted' numeric
@attribute 'HomeTeamCorners' numeric
@attribute 'AwayTeamCorners' numeric
@attribute 'HomeTeamYellowCards' numeric
@attribute 'AwayTeamYellowCards' numeric
@attribute 'HomeTeamRedCards' numeric
@attribute 'AwayTeamRedCards' numeric
@attribute 'Bet365HomeWinOdds' numeric
@attribute 'Bet365DrawOdds' numeric
@attribute 'Bet365AwayWinOdds' numeric
@attribute 'WilliamHillHomeWinOdds' numeric
@attribute 'WilliamHillDrawOdds' numeric
@attribute 'WilliamHillAwayWinOdds' numeric
@attribute 'class' { D,H,A }
@data
Norwich,QPR,2,1,1,0,15,13,8,4,15,7,6,4,1,0,0,0,2.1,3.4,3.5,2.15,3.5,3.25,H
Stoke,Blackburn,3,1,1,0,8,16,5,12,10,5,2,6,0,0,0,0,1.83,3.5,4.5,1.8,3.5,4.5,H
Sunderland,Wigan,1,2,1,1,17,7,11,4,12,13,3,2,3,1,0,0,1.67,3.6,5.5,1.7,3.75,4.8,A
WestBrom,Tottenham,1,3,1,1,9,23,5,14,11,13,1,10,2,1,0,0,4,3.6,1.91,4,3.75,1.85,A
Liverpool,ManCity,1,1,1,1,17,7,9,3,11,13,8,5,1,4,0,1,2.75,3.2,2.63,2.8,3.4,2.45,D
Swansea,AstonVilla,0,0,0,0,6,9,2,4,9,17,4,6,3,4,0,0,2.2,3.25,3.4,2.25,3.3,3.2,D
AstonVilla,ManUnited,0,1,0,1,7,11,3,5,4,11,5,5,0,0,0,0,5,3.6,1.73,5,3.4,1.75,A
Blackburn,Swansea,4,2,2,1,14,10,9,5,12,13,3,4,1,1,0,1,2.1,3.4,3.5,2.25,3.25,3.25,H
ManCity,Norwich,5,1,1,0,21,5,16,2,8,7,12,4,0,1,0,0,1.17,7,17,1.2,6,15,H
Newcastle,Chelsea,0,3,0,1,16,21,9,13,7,6,6,5,2,3,0,0,3.5,3.4,2.1,3.5,3.2,2.15,A
QPR,WestBrom,1,1,1,0,14,15,4,10,7,9,3,5,0,3,0,0,2.25,3.3,3.25,2.3,3.2,3.2,D
Tottenham,Bolton,3,0,1,0,25,13,16,9,10,5,7,6,0,2,0,1,1.3,5,12,1.33,4.8,9,H
Wigan,Arsenal,0,4,0,2,7,16,4,10,8,12,4,5,3,2,0,0,6,4,1.57,6,3.8,1.57,A
Everton,Stoke,0,1,0,1,11,7,4,4,14,13,10,6,0,1,0,0,1.67,3.6,5.5,1.73,3.5,5,A
Wolves,Sunderland,2,1,0,0,15,18,10,12,10,12,8,3,2,3,0,0,2.4,3.3,3,2.38,3.25,3,H
